,Customer Name,Review Title,Rating,Reviews
0,Ashutosh singh,Mast hai,5.0 out of 5 stars,I will surprise with the quick touch response
1,Swati,Perfect buy,5.0 out of 5 stars,Must buy earbuds loved the bass quality and active features which are so convenient to use will purchase again for gifting
2,Anuragkumar,Perfect partner for lone wolf.,5.0 out of 5 stars,It got very smooth touch contel experience. The mic catch my voice very easily even in little crowded place. It helps me very much during my meeting.
3,Ravindra ,So good,5.0 out of 5 stars,Balanced sounds in your ears without the distraction of other noises around you
4,Shubham Singh,Worth buying,5.0 out of 5 stars,This is the best earbud I have ever purchased. Best for gaming mode.
5,Kavilash Fund,Great,5.0 out of 5 stars,All over performance is good
6,harsh khatiwala,Nice!,5.0 out of 5 stars,Nice!!!
7,Joshua tajo,Its a great airbuds for gaming.....,5.0 out of 5 stars,"                    The media could not be loaded.
                



 Only thing is dat base is not that great in full volume but u won't even use full volume anyways cus it's too high ....."
8,Deepak,Awesome,5.0 out of 5 stars,"                    The media could not be loaded.
                



 The lighting effect is to cool. Good sound quality with fantastic bass.  Gaming mode is absolutely outstanding with very less latency. I love this product"
9,Sam ,Lost of charging problem,2.0 out of 5 stars,In Charging box the left charging point doesn't working and the right side air pods discharging soon.so make any other choice
10,Sahil,Best tws in this price range.,5.0 out of 5 stars,You wouldn't regret after buying this tws .
11,architchaudhary,Amazing earbuds,5.0 out of 5 stars,"                    The media could not be loaded.
                



 Amazing sound quality gaming mode is awesome working very fine battery life is also very good overall good product"
12,Susheela Tiwari,Its a very good ear buds,5.0 out of 5 stars,I like this earbuds
13,sachin pathare,Avoid,5.0 out of 5 stars,Heating issue …after charging…case n earpiece both…many times device got disconnected with Bluetooth…latency issue…slight delayed dialogues…overall disappointing..previous 255+pro were better
14,Darshil ,Every thing is just 5 star,5.0 out of 5 stars,"                    The media could not be loaded.
                



 Voice quality and sound quality both are excellent and battery life is amazing"
15,Abel Aji,Good TWS,5.0 out of 5 stars,"                    The media could not be loaded.
                



 Good product, has nice sound quality and looks dope with the RGB lights"
16,Tuhin Ghosh,Sound quality not good,2.0 out of 5 stars,"The touch and other functions are fine but the sound quality is just bad, reason why I'm returning the product."
17,Amazon Customer,Awesome,5.0 out of 5 stars,"                    The media could not be loaded.
                



 The product is awesome with some amazing looks and sound quality. Go for it. Great deal!!!"
18,Prince chauhan,Best sound & awesome Gaming Beast Mode,1.0 out of 5 stars,"                    The media could not be loaded.
                



 Best sound & awesome Gaming Beast Mode and it's done have battery indicator"
19,Vivek dude,Mic doesn't works and battery draining very fastly when it falls below 30%,1.0 out of 5 stars,While calling mic doesn't work.....some times only it is working.Iss se jyada acha mai direct hi baat kar leta hu....Paresaan ho gya hu....Upar se jab music yaa call band hota hai to kuch irritating se abaaj aate rahta hai...#Never like this...fully waste of money...Battery aisa hai ki jaise hi 30% yaa usse niche jata hai....uske 5 minutes ke ander hi band ho jata hai....
20,Pratik Santra,Love the look and design,5.0 out of 5 stars,
21,Sathyam,Very much satisfied by the product reasonable price good for gaming very good battery back,5.0 out of 5 stars,
22,Vishal,Right one stopped working... sometimes the led lights just doesn't stop lighting... didn't expected,2.0 out of 5 stars,Will have return or exchange it... useless product
23,Meena sachdeva,This airbud did not provide 40 ms low latency,5.0 out of 5 stars,"                    The media could not be loaded.
                



 Only music quality"
24,Aryan p.,This is best and the beast at this price,5.0 out of 5 stars,Best
25,Rohan Salian,Awesome product at a bargain,5.0 out of 5 stars,Best TWS at this price range
26,Pranav Sharma,Not as expected,2.0 out of 5 stars,Don't buy this product
27,Sarathi,Charging capacity,2.0 out of 5 stars,Good fitting but single charge using only 6 to 7 hrs only they claim 10 hr
28,Snehal,Is it good very good . What I like most is the bass and charge,5.0 out of 5 stars,"                    The media could not be loaded.
                



 I liked it a lot"
29,Sougata,Awesome 👌,5.0 out of 5 stars,"                    The media could not be loaded.
                



 Quality is good"
30,Gaurav Raj,It's quility,5.0 out of 5 stars,"                    The media could not be loaded.
                



 Best quality product.."
31,Salil Dwivedi,what  I  do for this problem . 😭,2.0 out of 5 stars,"                    The media could not be loaded.
                



 Product quality is ok but  not good .Product is not comfortable"
32,Tasneem.S,Very Disappointed,1.0 out of 5 stars,"The RGB lights and shape of the box is great and that's about it. The build quality ain't good since it is plastic so need to handle it carefully or it will break. Coming to the earbuds, they just don't fit right and the touch sensitivity is frustrating. I've changed the earbuds size to small and they still fall out. The sound quality is the worst... I have to set the volume at 80+ to hear anything properly so that's a bummer. Beast mode kicks in randomly when I'm trying to adjust the ear buds... Overall, I am very upset and disappointed that I bought these. Am I keeping them? Yes, have no choice since the amazon packaging and everything else has been thrown away by a very helpful ""helper"". This was a bad purchase and waste of good money."
33,Bhanu pratap,Awsome product,5.0 out of 5 stars,"                    The media could not be loaded.
                "
34,Pratham singh,"Worth for 1500,everything is nice but only the mids sound somewhat low.",5.0 out of 5 stars,"                    The media could not be loaded.
                



 Worth buying."
35,Pankaj Sharma,Uncomfortable,1.0 out of 5 stars,"Not for Games or whatever,  very hard for ears,Not for gaming, slow...letency,...youtubers also make false videos now a days...cant bear to wear if you play even half an hour."
36,AKSHAY KUMAR,One of the worst product from boat,1.0 out of 5 stars,Sound glitch in both sidesAnd sound in breaking in both sides so I requested to replace the device but i am facing same problem in secound replacement device
37,Pavan Kumar Kudhirilla,Heat issue,1.0 out of 5 stars,Within 10 mins of usage getting heat inside ear..not good for ears if it is like that...
38,RB,Not too Good,1.0 out of 5 stars,Gaming experience is too good but the sound quality is very poor.
39,Ayush Rawat,Not for Gaming.,1.0 out of 5 stars,"Built quality is very poor, latency is very high probably not 40ms, not worth the money."
40,Tsering wangchuck,It says 40ms latency on beast mode but have the r&d team checked whether it's true or not,1.0 out of 5 stars,"                    The media could not be loaded.
                



 Lie is been told about 40 ms latency it is more the 60-70 ms latency rest design is good and also mic they say it's good whereas it has the shitiest mic as the other end the voice goes very low. I have used other products but this is the worst of all.If any gamer planning to buy please dont buy as specially in pubg his character will die and then he will hear the gun shots."
41,PRATHAMESH SONAWANE ,Bad sound quality manufacturing defects,1.0 out of 5 stars,After stopping sound it seems like Something processing behind and sound like kirrrkirrr
42,Darshan N,Immortal 121,4.0 out of 5 stars,"Looks sick, Sound quality is not badCharge on this stays well.Feels like a good investment .  ..."
43,Anand kumar,If u are not playing any song it will always sound buzz that is very irritating...,1.0 out of 5 stars,If u are not playing any song it will always sound buzz that is very irritating...
44,Annamalai,Don't buy this product,1.0 out of 5 stars,Bought this product 4 days before....it's not upto the mark .....when battery is less than 30% video and audio are not syncing. Hardly 5 seconds difference between video and audio. Really shocked by the performance of this product...... please don't buy
45,M.Zeyan,Not good,1.0 out of 5 stars,Don't buy white
46,Gaurav jain,Worst product,1.0 out of 5 stars,Worst product
47,Vignesh,Continuous static noise,1.0 out of 5 stars,Was working fine for 3-4 hours. But after I started hearing static noise continuously and it was really annoying. Even when we play song there will be static noise along with it. Such a disappointment. Returned it
48,Pihu,Poor qualitynot gud for call & waist of money🙏🏻dont waist ur money in this product🙏🏻,1.0 out of 5 stars,I m using this product for daily purpose like listening music & for call. But this product is not gud for both. It's very bad product plzzz give it back. & refund my amount or exchange my product.🙏🏻thnk u
49,Himanshu,Useless,1.0 out of 5 stars,"                    The media could not be loaded.
                



 Not worth the money ear buds are so uncomfortable that they hurt just by wearing them and they produce noise so much you cannot use them in low volume I am trying for refund but they are refusing for it"
50,Ashutosh singh,Mast hai,5.0 out of 5 stars,I will surprise with the quick touch response
51,Swati,Perfect buy,5.0 out of 5 stars,Must buy earbuds loved the bass quality and active features which are so convenient to use will purchase again for gifting
52,Anuragkumar,Perfect partner for lone wolf.,5.0 out of 5 stars,It got very smooth touch contel experience. The mic catch my voice very easily even in little crowded place. It helps me very much during my meeting.
53,Ravindra ,So good,5.0 out of 5 stars,Balanced sounds in your ears without the distraction of other noises around you
54,Shubham Singh,Worth buying,5.0 out of 5 stars,This is the best earbud I have ever purchased. Best for gaming mode.
55,Kavilash Fund,Great,5.0 out of 5 stars,All over performance is good
56,harsh khatiwala,Nice!,5.0 out of 5 stars,Nice!!!
57,Joshua tajo,Its a great airbuds for gaming.....,5.0 out of 5 stars,"                    The media could not be loaded.
                



 Only thing is dat base is not that great in full volume but u won't even use full volume anyways cus it's too high ....."
58,Deepak,Awesome,5.0 out of 5 stars,"                    The media could not be loaded.
                



 The lighting effect is to cool. Good sound quality with fantastic bass.  Gaming mode is absolutely outstanding with very less latency. I love this product"
59,Sam ,Lost of charging problem,2.0 out of 5 stars,In Charging box the left charging point doesn't working and the right side air pods discharging soon.so make any other choice
60,ADESH SHIRKE,Good Latency & Great Sound Quality For Gaming,5.0 out of 5 stars,Ordered this Boat Immortal for Gaming Purpose. Beast Mode is working as expected and has good latency. Worth for price and loaded with many features. Much Recommended for Daily Gaming.
61,Jitendra bhatt,Best for gaming,5.0 out of 5 stars,This is the best earbuds for gaming. It's sound quality is perfect.
62,JAYKUMAR,Impressive Sound quality,5.0 out of 5 stars,Sound quality is very nice also RGB light give unique look to earbuds.In call voice quality is crystal clear and noise cancellation is working superbly.Low latency mode doing its work perfectly.
63,Manjeet Singh,Brand made a masterpiece.,5.0 out of 5 stars,I got this on very first sale day. Very fast delievery by seller. I love its sound quality and looks.
64,J,Earbuds are making a irritating static hiss noise when no music or sound is playing,2.0 out of 5 stars,This Product is good the RGB and features are well crafted but the irritating static noise is making me return the productI don't know why youtubers are not highlighting this issueMany other people have the same problem but not getting the proper help from boatIf you can ignore the static noise then go for it it's good
65,Rishabh Rai,Gaming buds,5.0 out of 5 stars,"Really impressive gaming buds, the RGB light is really gives a Gamer vibes sound quality is to much awesome even I can listen music with best sound output"
66,Siddharth Soni,Nice gaming buds,5.0 out of 5 stars,Nice earbuds having having great latency of gaming and the design is very nice it has the rgb light which is look very nice. It has nice battery backup
67,Ayush,worth it,5.0 out of 5 stars,"battery life is super good as well as the low latency gaming mode, lightweight and comfortable on the ears, W product"
68,SHUBHAM SINGH,Beast mode,5.0 out of 5 stars,It's value for money. Sound quality dope.
69,Abhi,Top quality product,5.0 out of 5 stars,This earbuds is so good too good sound quality great bass quality premium build and design comfortable in ear and the look is killer superb quality damn good
70,Deepak k,This buds are completely awesome. Best for gaming purpose,5.0 out of 5 stars,This buds are completely awesome. Best for gaming purpose
71,Abhishek Kumar,Perfect,5.0 out of 5 stars,Absolutely perfect for gaming purpose. Fine sound quality.
72,Ankit,Beauty!!,5.0 out of 5 stars,What a beautiful lighting combination! I just had love at first sight.
73,NASEER,VERY NICE 👍,5.0 out of 5 stars,VERY NICE PRODUCT AND NO WASTE MONEY FAST TO FAST BUY look so good
74,Harsh pandey,amazing one,5.0 out of 5 stars,Everything look like like the pictures . Easy setup
75,R.D.jadhav,Must buy,5.0 out of 5 stars,Great earbuds among their seriesLess latencyGood bassGreat battery backupGood connectivityOverall good choice of earbudsMust buy
76,Nilesh P.,Pesa vasul product,5.0 out of 5 stars,Quality 5 starFeatures 4 starValue for money 4starCool product
77,Satyam kumar singh,Better sound and build quality at this price.,5.0 out of 5 stars,"                    The media could not be loaded.
                



 Best sound quality at this price point Mic qualty is also good Battery is long lasting, you can listen songs for a long time with ease. Its gud build and value for money prodct."
78,Rajkumar,Colling voice is to low,2.0 out of 5 stars,It's now good voice of colling and low voice in video watching
79,Vijay,Good One,5.0 out of 5 stars,Appearance was good
80,Shantanu Naware,Irritating sound,2.0 out of 5 stars,I purchase it 3 time's still facing the same issue of irritating sound coming with songs and anything I play..
81,dev,Awesome Product,5.0 out of 5 stars,Nice product with a great build and sound quality. The design is amazing and attractive Satisfied with the purchase.
82,Hemendra,Excellent product in this range.,5.0 out of 5 stars,"Build quality and design is decent, sound quality is great. awesome bass and sount.. 10 out of 10."
83,Amazon Customer,Good sound quality but not strong,2.0 out of 5 stars,Very delicate ..not advice for rough users
84,Hamid raza khan,Not bad.,2.0 out of 5 stars,Light is not working properly and it gets disconnected automatically sometimes.
85,Avinash Singh,Irritating sound of kirr kirr,1.0 out of 5 stars,There is some kind of irritating noise sometimes like kirr kirr when i reduced the volume to zero and again increasing the sound then this sound is vanished but again after resuming the video and audio again the problem starts again  . I replaced this item oncer for the same reason . After receiving the replaced product i found bthe same problem again.  This is my second worst experience with boat.Battery percentage fluctuations.Some time when i put the buds in box and use again battery level changes . Which is annoying.Voice quality is good. And it is light weight but annoying sound can't be tolerated
86,Sakshi,Best quality in price,5.0 out of 5 stars,Best quality in price
87,Jeevan Singh,Not Bad,5.0 out of 5 stars,"                    The media could not be loaded.
                



 the soind quality in this price is to gudworth buyingbass : 9/10treble : 9/10overalll : 9/10batteiry : 10/10overal value fr money : 10/10"
88,Christhu ,Boat immortal 121 airpods,5.0 out of 5 stars,Awesome 👍
89,Placeholder,Best Product,5.0 out of 5 stars,Sound Quality Super GoodBest bass
90,Vijay,"Fabulous look,Good base and clear voice",5.0 out of 5 stars,Good base cleared music and clean voice when I speak call. Value for money 🥳
91,Arjun,Gr8 Product,5.0 out of 5 stars,Good product with descent sound and call quality.... Best in price range
92,Alamelu,Boat immortal,5.0 out of 5 stars,quality Product!! looks stunning...rgb light works awesome.c-type charging is convenient
93,Utsa S.,Very good product,5.0 out of 5 stars,"Sound quality is very good,battery life also good, good charging speed.overall good product."
94,Shashank jangir,Havvy quality,5.0 out of 5 stars,I liket
95,Sanket Dhage,Calling quality very low,2.0 out of 5 stars,Very low quality for calling
96,Sanket Dhage,Great Product!!!,5.0 out of 5 stars,"                    The media could not be loaded.
                



 Great product with long battery life and sturdy finish and the LED are not any common LED the are bright and every amusing... highly recommend this product in the budget ...the quality of audio is better than Many other brands."
97,Pratham Kumar,Bad product,1.0 out of 5 stars,Please don't buy this product. First there was constant static sound coming from left earbud. I thought this a defective piece so chosed to replace. But when the replaced product came it had the same problem. I searched on YouTube and a lot of people was complaining about the same issue about a constant sound coming from earbuds. So i returned itPlease don't buy. Worst product ever i have bought online.
